no_nodes,gas
3,206620
4,280465
5,280465
6,354310
7,354310
8,428155
9,428155
10,502000
11,502000
12,575845
13,575845
14,649690
15,649690
16,723535
17,723535
18,797380
19,797380
20,871225
21,871225
22,945070
23,945070
24,1018915
25,1018915
26,1092760
27,1092760
28,1166605
29,1166605
30,1240450
31,1240450
32,1314295
33,1314295
34,1388140
35,1388140
36,1461985
37,1461985
38,1535830
39,1535830
40,1609675
41,1609675
42,1683520
43,1683520
44,1757365
45,1757365
46,1831210
47,1831210
48,1905055
49,1905055
50,1978900
51,1978900
52,2052745
53,2052745
54,2126590
55,2126590
56,2200435
57,2200435
58,2274280
59,2274280
60,2348125
61,2348125
62,2421970
63,2421970
